state,x,y
Jammu Kashmir,-79,178
Himachal Pradesh,-70,144
Punjab,-91,131
Uttarkhand,-45,119
Haryana,-82,107
Rajasthan,-112,69
Uttar Pradesh,-32,77
Bihar,39,59
Sikkim,69,92
West Bengal,70,31
Assam,132,79
Arunachal Pradesh,148,109
Nagaland,149,76
Manipur,144,57
Mizoram,134,39
Tripura,117,42
Meghalaya,108,65
Jharkhand,29,31
Chattisgarh,-10,-3
Madhya Pradesh,-62,26
Gujarat,-143,21
Maharastra,-95,-28
Telangana,-47,-47
Andhra Pradesh,-42,-91
Goa,-106,-85
Karnataka,-88,-98
Kerala,-76,-156
Tamil Nadu,-53,-143